,X,longitude,latitude,P.A,source,density,dem,demstd,population,conservation,tree,rain
46,178,-887323.5324,3140727.811,1,CT,0.018839579,3232.1266,515.663071,0.496787646,0.888744863,38.58381858,872.1161515
47,179,-961111.9121,3126673.922,1,CT,0.01719936,2270.298765,459.8950463,0.27310036,0.57945015,68.03881272,1732.754998
48,181,1259024.428,3169300.371,1,CT,0.029347921,437.745933,150.6209067,91.1374355,0.11831823,73.50985653,1831.462416
49,182,-350356.7772,2270030.678,1,CT,0.01450157,1086.1598,162.8208205,20.10823643,0.231861336,72.87182409,1626.654719
50,183,-633268.4463,2748876.676,1,CT,0.01236704,2757.48863,408.4187454,46.917817,0.201718923,43.2359621,1396.26823
51,184,-128392.3513,3310979.39,1,CT,0.041090421,1195.72834,228.0740986,495.5259944,0.092236502,31.19710667,1042.11014
52,185,545357.5219,2726949.506,1,CT,0.01227748,764.0494211,214.4116154,43.477804,0.169875225,71.09156883,1594.497083
53,187,531527.5538,3197268.914,1,CT,0.015872089,1105.336587,268.4155161,82.76512008,0.279083751,73.63049388,1408.972032
54,188,346915.1422,3610780.12,1,CT,0.01353604,1532.378681,255.6662834,44.64785628,0.01035392,75.44859991,865.641479
55,190,1977628.422,5298863.719,1,CT,0.01257002,213.5819875,52.83794358,354.7952964,0.08395879,23.92568605,559.3307961
56,191,-116527.3627,2999591.388,1,CT,0.026706859,1365.097959,325.628633,145.7950963,0.02060413,65.01399017,983.8999521
57,192,1795145.105,5430538.354,1,CT,0.01217918,443.2173583,82.2757945,80.12817548,0.025287058,63.96531305,659.9027788
58,193,1269495.255,3220867.125,1,CT,0.02743498,371.4341449,124.717058,170.0958377,0.016846037,66.76748753,1796.397797
59,194,2105894.569,5207383.673,1,CT,0.01333093,100.7495552,13.3763511,53.35888171,0.027435993,6.497765202,566.8058894
60,195,1753027.419,4887981.391,1,CT,0.01200662,409.2608483,113.5259807,45.49618731,0.135904784,37.32984673,712.68361
61,196,2035495.487,4940156.78,1,CT,0.02077991,683.4064057,100.1488678,2.695031779,0,60.03436419,682.5153796
