"","X.1","X","Y","R","density"
"54",118,237137.0772,3591809.681,1,0.377381103
"55",119,240044.1348,3593601.967,1,0.376582949
"56",120,-282725.3816,3050389.276,1,0.024300701
"57",131,-252616.4694,3228406.152,1,0.016726556
"186",2,-29708.178,3470360.197,1,0.985821738
"187",3,-29708.178,3470360.197,1,0.985821738
"188",4,-29708.178,3470360.197,1,0.985821738
"189",8,-27094.4712,3466605.299,1,0.981125759
"190",9,-26685.4501,3463062.541,1,0.977168996
"191",12,-21170.4422,3465356.965,1,0.952303855
"192",15,-19234.3474,3466637.277,1,0.940793207
"193",18,-18091.069,3463275.936,1,0.936915167
"194",23,-15374.3551,3465645.149,1,0.917609702
"195",24,-15109.4412,3459356.182,1,0.916746481
"196",25,-14494.3741,3466609.403,1,0.909822265
"197",26,-14313.7848,3464551.555,1,0.911931197
"198",34,-80125.0612,3503884.596,1,0.542180561
"199",35,-75160.8403,3500562.917,1,0.614853238
"200",40,-87076.4353,3500186.219,1,0.50085382
"201",44,-77251.2097,3501489.014,1,0.582439805
"202",46,-31268.6671,3456479.943,1,0.975399532
"203",48,-32139.5147,3455367.302,1,0.971706311
"204",49,-30452.3607,3454759.003,1,0.966519724
"205",52,-29547.9372,3459051.039,1,0.981215312
"206",53,-30029.7837,3454738.458,1,0.965072116
"207",54,-30029.7837,3454738.458,1,0.965072116
"208",57,-27383.0075,3455954.885,1,0.962754682
"209",58,-27383.0075,3455954.885,1,0.962754682
"210",60,-27383.0075,3455954.885,1,0.962754682
"211",62,-27383.0075,3455954.885,1,0.962754682
"212",63,-27383.0075,3455954.885,1,0.962754682
"213",66,-27383.0075,3455954.885,1,0.962754682
"214",67,-27383.0075,3455954.885,1,0.962754682
"215",68,-27383.0075,3455954.885,1,0.962754682
"216",69,-27383.0075,3455954.885,1,0.962754682
"217",71,-24112.6455,3452317.856,1,0.938603587
"218",73,-54769.2966,3463385.585,1,0.934199712
"219",74,-51952.6428,3461069.586,1,0.950784724
"220",75,-61367.7162,3466658.977,1,0.893431711
"221",76,-52872.5818,3462227.219,1,0.943160803
"222",121,-75173.2731,3499387.33,1,0.630928361
"223",122,-78408.7444,3490653.664,1,0.654389927
"224",127,-58271.0594,3464422.379,1,0.912352782
